Entity,Relation,Entity,Weight
std between 1.265435202025598 and 5.671287387417208, std, heatmap, 145
field_name_length between 5.044516129032258 and 39, field_name_length, histogram, 2662
coeff_var between 326.19710867604397 and 8927.435058593765, coeff_var, line, 15431
Tenth-order moment between 2553332197612499.5 and 5.38823068933106e+26, Tenth-order moment, scatter, 9188
percent_outliers_15iqr between 0.9085796858033826 and 0.9596259197881145, percent_outliers_15iqr, line, 18158
Third Quartile between 2009.0132802261844 and 4188.793847656234, Third Quartile, box, 2970
sortedness between 0.08363238902341927 and 0.41998404109189585, sortedness, heatmap, 206
Tenth-order moment between 0.09400793363971076 and 2059.777588441911, Tenth-order moment, box, 1518
bar, trace_type, bar, 40200
percent_outliers_3iqr between 0.9775492457612869 and 1.9800000190734863, percent_outliers_3iqr, bar, 1686
normality_p between 0.0004431203660561995 and 0.11218227241308455, normality_p, scatter, 7587
Third Quartile between 2009.0132802261844 and 4188.793847656234, Third Quartile, line, 16477
hasoutliers_3std, has_outliers, bar, 4040
normalized_median between 0.0006439799570568022 and 0.3451659363508224, normalized_median, heatmap, 101
integer, data_type, bar, 15352
euro, symbol_in_name, box, 2
space, symbol_in_name, bar, 21096
is_only_field_True, is_only_field, heatmap, 34
kurtosis between -0.17026565258541418 and 1.5766148755627292, kurtosis, scatter, 8829
quant_coeff_disp between 0.34838628983305325 and 1.5, quant_coeff_disp, heatmap, 85
var between 802.6463076486889 and 8941665.196451588, var, box, 2460
coeff_var between 5.826227477519748 and 326.19710867604397, coeff_var, heatmap, 138
euro, symbol_in_name, line, 7
normalized_range between 1.784245115326297 and 2.6604745115772372, normalized_range, box, 1906
med_abs_dev between 0.7801671246847796 and 2.1782844193520083, med_abs_dev, box, 1771
entropy between 7.226597045621564 and 8.682643008232112, entropy, bar, 1499
percent_outliers_3iqr between 0.8054596785576112 and 0.9000023295802455, percent_outliers_3iqr, histogram, 294
max between 1.369510426136755 and 5.469374160151328, max, bar, 4118
ninth-order moment between 15399884.174838709 and 728152499793781000, ninth-order moment, histogram, 998
percent_outliers_15iqr between 0.7048739443479046 and 0.9085796858033826, percent_outliers_15iqr, scatter, 16917
gini between 0.381471216414244 and 0.5444116135758735, gini, scatter, 15616
lin_space_sequence_coeff between 1.6128226203303184 and 3.0317178572377843, lin_space_sequence_coeff, heatmap, 52
var between 802.6463076486889 and 8941665.196451588, var, line, 12841
coeff_var between 1.7603407242221216 and 5.826227477519748, coeff_var, histogram, 851
percent_outliers_3iqr between 0.32998837097998585 and 0.7134887467661212, percent_outliers_3iqr, bar, 5742
normalized_range between 1.784245115326297 and 2.6604745115772372, normalized_range, line, 10236
med_abs_dev between 0.7801671246847796 and 2.1782844193520083, med_abs_dev, line, 7933
hasoutliers_1_99, has_outliers, box, 11390
max between 5.469374160151328 and 19.999878525272493, max, scatter, 9850
Third Quartile between 18.23213297659351 and 2009.0132802261844, Third Quartile, heatmap, 121
min between 2234.3465037487395 and 3181.360058593754, min, bar, 4041
Seventh-order moment between 0.035443333685398086 and 35631.60671685986, Seventh-order moment, box, 1943
normalized_range between 1.0605909924353323 and 1.784245115326297, normalized_range, bar, 3722
first_char_uppercase_name_True, first_char_uppercase_name, box, 12039
hasoutliers_1_99, has_outliers, line, 60411
max between 639.0702552057083 and 26214.49350302417, max, box, 2718
normalized_mean between 0.5259337732099718 and 0.6351002664527585, normalized_mean, histogram, 405
number_of_words_in_name between 1 and 8, number_of_words_in_name, heatmap, 985
mean between 281.8860048355595 and 8262.562250976542, mean, box, 2466
min between 1.817272958832402 and 9.322483742621632, min, heatmap, 154
Seventh-order moment between 0.035443333685398086 and 35631.60671685986, Seventh-order moment, line, 22176
normalized_mean between 0.40559448752191757 and 0.5259337732099718, normalized_mean, histogram, 920
is_log_space_True, is_log_space, histogram, 289
first_char_uppercase_name_True, first_char_uppercase_name, line, 61812
max between 639.0702552057083 and 26214.49350302417, max, line, 14426
min between 69.52466286197784 and 2234.3465037487395, min, heatmap, 64
mean between 281.8860048355595 and 8262.562250976542, mean, line, 13698
hasoutliers_3iqr, has_outliers, heatmap, 672
ninth-order moment between -8.465492734351432e-15 and 0.8167481387046068, ninth-order moment, scatter, 9139
percent_outliers_3iqr between 0.9631309172030419 and 0.9775492457612869, percent_outliers_3iqr, heatmap, 218
First Quartile between 0.993269883817242 and 2.486012015035075, First Quartile, bar, 3251
Seventh-order moment between 35631.60671685986 and 29994971860657480000, Seventh-order moment, histogram, 1054
Tenth-order moment between 5.38823068933106e+26 and 318892623097554200000000000000, Tenth-order moment, box, 1781
Eigthth-order moment between 7902707318.585811 and 313954491464076.7, Eigthth-order moment, box, 3706
kurtosis between -0.8387569783387646 and -0.17026565258541418, kurtosis, histogram, 380
hasoutliers_15iqr, has_outliers, bar, 25155
range between 0.0010489814216270439 and 1.884129064832964, range, box, 825
std between 1.265435202025598 and 5.671287387417208, std, box, 3899
quantitative, general_type, heatmap, 727
Tenth-order moment between 5.38823068933106e+26 and 318892623097554200000000000000, Tenth-order moment, line, 10713
Eigthth-order moment between 7902707318.585811 and 313954491464076.7, Eigthth-order moment, line, 19530
range between 0.0010489814216270439 and 1.884129064832964, range, line, 8805
std between 1.265435202025598 and 5.671287387417208, std, line, 15738
sortedness between 0.08363238902341927 and 0.41998404109189585, sortedness, box, 3319
percent_outliers_1_99 between 0.9165140006619115 and 0.990797292186368, percent_outliers_1_99, histogram, 1086
decimal, data_type, bar, 14117
quant_coeff_disp between 0.019905503821228736 and 0.34838628983305325, quant_coeff_disp, heatmap, 77
normalized_mean between 0.6351002664527585 and 0.7784608491774528, normalized_mean, histogram, 366
digit, symbol_in_name, heatmap, 204
normality_statistic between 40.29032087326056 and 278.8104670961443, normality_statistic, histogram, 819
percent_outliers_3iqr between 0.9000023295802455 and 0.9631309172030419, percent_outliers_3iqr, bar, 5784
normality_statistic between 278.8104670961443 and 2755.4830602633538, normality_statistic, histogram, 836
sortedness between 0.08363238902341927 and 0.41998404109189585, sortedness, line, 8618
percent_outliers_3iqr between 0.7134887467661212 and 0.8054596785576112, percent_outliers_3iqr, scatter, 7041
normalized_median between 0.0006439799570568022 and 0.3451659363508224, normalized_median, box, 1488
Fifth-order moment between -5.119229860089301e-08 and 0.35549705584202634, Fifth-order moment, bar, 2128
normality_p between 1.414449563859021e-12 and 0.0004431203660561995, normality_p, bar, 3849
median between 30.791238223660386 and 273.1241935483871, median, bar, 6415
Seventh-order moment between 29994971860657480000 and 42188275653726420000000, Seventh-order moment, bar, 7698
isnormal_5, is_normal, scatter, 33309
normalized_median between 0.0006439799570568022 and 0.3451659363508224, normalized_median, line, 8297
first_char_uppercase_name_False, first_char_uppercase_name, scatter, 23287
is_only_field_True, is_only_field, box, 622
entropy between 1.3727904235932133 and 2.299301989847614, entropy, histogram, 134
quant_coeff_disp between 0.34838628983305325 and 1.5, quant_coeff_disp, box, 1846
coeff_var between 5.826227477519748 and 326.19710867604397, coeff_var, box, 1844
avg_abs_dev between 0.8992536992026909 and 4.595696832287696, avg_abs_dev, heatmap, 135
kurtosis between -1.484341488230613 and -1.1909797564629585, kurtosis, histogram, 693
mean between 31.850277947456604 and 281.8860048355595, mean, histogram, 1006
is_only_field_True, is_only_field, line, 142
med_abs_dev between 2.1782844193520083 and 13.45003824418591, med_abs_dev, heatmap, 114
med_abs_dev between 2452.4554838709664 and 3574.3924560546875, med_abs_dev, heatmap, 160
First Quartile between 2000.9977107878653 and 3760.39501953125, First Quartile, scatter, 15513
percent_outliers_1_99 between 0.08696898928573049 and 0.9165140006619115, percent_outliers_1_99, bar, 4654
lin_space_sequence_coeff between 1.6128226203303184 and 3.0317178572377843, lin_space_sequence_coeff, box, 2102
quant_coeff_disp between 0.34838628983305325 and 1.5, quant_coeff_disp, line, 7901
coeff_var between 5.826227477519748 and 326.19710867604397, coeff_var, line, 8216
entropy between 3.0664403364735264 and 4.227416124036235, entropy, bar, 3910
lin_space_sequence_coeff between 1.6128226203303184 and 3.0317178572377843, lin_space_sequence_coeff, line, 8480
Third Quartile between 18.23213297659351 and 2009.0132802261844, Third Quartile, box, 2927
num_unique_elements between 33.18709677419355 and 293, num_unique_elements, bar, 22316
med_abs_dev between 2.42659167633974e-05 and 0.7801671246847796, med_abs_dev, heatmap, 145
number_of_words_in_name between 1 and 8, number_of_words_in_name, box, 6951
avg_abs_dev between 0.0016913167480378925 and 0.8992536992026909, avg_abs_dev, bar, 4417
Sixth-order moment between 44125102529.89933 and 131908579289215120000, Sixth-order moment, histogram, 774
Third Quartile between 18.23213297659351 and 2009.0132802261844, Third Quartile, line, 11707
ninth-order moment between -1401645.8064516135 and -8.465492734351432e-15, ninth-order moment, histogram, 596
is_x_src, is_x_or_y, bar, 15171
number_of_words_in_name between 1 and 8, number_of_words_in_name, line, 28529
min between 0.2605670641891413 and 1.817272958832402, min, bar, 9610
min between 69.52466286197784 and 2234.3465037487395, min, box, 2145
gini between 0.2661612808704376 and 0.381471216414244, gini, scatter, 8626
hasoutliers_3iqr, has_outliers, box, 11339
is_sorted_True, is_sorted, heatmap, 320
percent_outliers_3iqr between 0.9631309172030419 and 0.9775492457612869, percent_outliers_3iqr, box, 3480
string, data_type, scatter, 4799
std between 0.005012650750577393 and 1.265435202025598, std, scatter, 7599
normalized_mean between 0.12335866319556385 and 0.40559448752191757, normalized_mean, histogram, 1558
min between 69.52466286197784 and 2234.3465037487395, min, line, 10224
quant_coeff_disp between 0.0017868509422987189 and 0.019905503821228736, quant_coeff_disp, heatmap, 33
quantitative, general_type, box, 12198
median between 5.251452979118592 and 30.791238223660386, median, box, 3275
hasoutliers_3iqr, has_outliers, line, 60100
percent_outliers_3iqr between 0.9631309172030419 and 0.9775492457612869, percent_outliers_3iqr, line, 15511
lin_space_sequence_coeff between 3.0317178572377843 and 12.837174805364283, lin_space_sequence_coeff, scatter, 7905
skewness between -0.393793818426709 and -0.008621457328779548, skewness, heatmap, 64
quantitative, general_type, line, 68911
mean between 0.1916935728682625 and 4.191202395962129, mean, bar, 3181
normality_p between 0.11218227241308455 and 0.590958889088323, normality_p, histogram, 607
quant_coeff_disp between 0.019905503821228736 and 0.34838628983305325, quant_coeff_disp, box, 2614
digit, symbol_in_name, box, 5608
categorical, general_type, bar, 9740
length between 29.32 and 4350, length, histogram, 1474
max between 19.999878525272493 and 56.596889114379884, max, scatter, 10515
is_monotonic_False, is_monotonic, scatter, 4981
med_abs_dev between 13.45003824418591 and 2452.4554838709664, med_abs_dev, heatmap, 206
quant_coeff_disp between 0.019905503821228736 and 0.34838628983305325, quant_coeff_disp, line, 12204
digit, symbol_in_name, line, 29075
percent_outliers_15iqr between 0.9596259197881145 and 0.9843483797965511, percent_outliers_15iqr, bar, 3834
avg_abs_dev between 2579.8562310987904 and 7894.221777343751, avg_abs_dev, scatter, 14340
is_monotonic_True, is_monotonic, scatter, 73958
Tenth-order moment between 2059.777588441911 and 26054988855.494198, Tenth-order moment, heatmap, 62
isnormal_1, is_normal, heatmap, 534
percent_outliers_15iqr between 0.9843483797965511 and 1.9849246144294739, percent_outliers_15iqr, scatter, 13938
Third Quartile between 0.007131026095875904 and 1.65858569099057, Third Quartile, histogram, 2258
avg_abs_dev between 0.8992536992026909 and 4.595696832287696, avg_abs_dev, box, 3646
med_abs_dev between 2452.4554838709664 and 3574.3924560546875, med_abs_dev, box, 2104
gini between 0.09158154010772704 and 0.1794668331501945, gini, scatter, 10658
entropy between 2.299301989847614 and 3.0664403364735264, entropy, heatmap, 40
is_unique_True, is_unique, scatter, 17582
median between 10816.114516129033 and 17753.6826171875, median, heatmap, 93
avg_abs_dev between 0.8992536992026909 and 4.595696832287696, avg_abs_dev, line, 14805
lin_space_sequence_coeff between 0.683453381061554 and 1.0657484795201209, lin_space_sequence_coeff, scatter, 10281
med_abs_dev between 2.1782844193520083 and 13.45003824418591, med_abs_dev, line, 10325
med_abs_dev between 2452.4554838709664 and 3574.3924560546875, med_abs_dev, line, 14969
First Quartile between 0.003832620927958784 and 0.993269883817242, First Quartile, scatter, 21372
lin_space_sequence_coeff between 1.0657484795201209 and 1.6128226203303184, lin_space_sequence_coeff, heatmap, 40
has_none_True, has_none, scatter, 1863
unique_percent between 0.5887225893235976 and 2, unique_percent, histogram, 1657
log_space_sequence_coeff between 0.004471472915141768 and 0.030450508665413562, log_space_sequence_coeff, heatmap, 105
range between 1.884129064832964 and 6.755743844124582, range, histogram, 605
avg_abs_dev between 21.805817592374737 and 2579.8562310987904, avg_abs_dev, heatmap, 167
Eigthth-order moment between 6.96370545438728e-17 and 105.55832996983654, Eigthth-order moment, histogram, 508
normalized_mean between 0.7784608491774528 and 0.9896777660615983, normalized_mean, histogram, 488
